AH G|jug
EY S|face,base,place,race,b-b-bass,chase,embrace,case,disgrace,space,suitcase,trace,grace,pace,staircase,erase,lace
EY P|rape,escape,tape
OW B|blow-job,globe
OW Z|potatoes,hoes,lingos,blows,hoe's,nose,pros,rhinos,goes,toes,shows,grows,shadows,knows,windows,lows,chose,those,hose,pantyhose,heroes,joe's,flows,follows,meadows,tomatoes,crinos,melrose,rose,crows
EY T|hate,plate,skate,date,masturbate,wait,straight,fate,gate,late,exultate,great,'88',state,ate,celebrate,rate,overpopulate,create,candidate,irate,concentrate,debate,stagnate,detonate,asphyxiate,emancipate
EY Z|ways,days,praise,anyways,yesterdays,daze,ablaze,haze,sideways,stays,cliches,always,phase,plays,byways,trays,holidays
OW T|wrote,vote,coat,float
OW S|close,dose
OW P|nope,dope,tightrope,hope,cope
IH N|layin,jokin,pokin,yodalin,dissin,burnin,rockin',jockin,askin,lambskin,grin,sin,sayin',pimpin',givin',livin',waxin,lookin',cookin,stylin,violin,guessin,fessin,blessin,exactin,speakin',k-i-d-r-o-c-kin,likin,hookin,understandin,movin,winnin',in,rollin',slowin,bullshittin,hittin,leapin,frownin',poundin',rumblin',stumblin',gamblin,rushin,tussin',bashin,shakin,trippin',pokin',motrin,gawkin,walkin',mackin,win,begin,frontin,revvin,sowin,growin',gin,clashin',grinnin',spinnin',sinnin',shakin',pleasin',talkin',showin',warnin',evenin',stinkin',sleepin',keepin',blowin',kin,comin',lovin',smilin',been,mornin',skin,thin,followin',dyin',tryin',within,burnin',hurtin',waitin',sneakin',thinkin',howlin',feelin',rainin',runnin',leavin',jumpin',darlin',dreamin',fuckin',chillin',wreckin',doin',barkin',turnin',smolderin',hopin',fishin',singin',a-creepin,nothin,lyin',fightin',nothin',ridin',buyin',paradin',struttin',knockin',cryin',virgin,chin,a-grin,lockin',deceivin',complainin',smokin',wearin',movin',callin',teasin',missin',risin',yearnin',beggin',goshen,foolin',schoolin',learnin',coolin',droolin',misusin',spin,blindin',shinin',climbin',denyin',findin',fallin',pumpin,pumpin',stressin,smackin',guessin',stressin',dumbin',crawlin',swimmin',dancin',freezin',bangin',bleedin',losin',cruisin',oozin',dealin',drinkin',breakin',kneelin',prayin'
IH M|him,bim,trim,dim,jim,grim,swim
IH L|till,gill,pill,bill,will,still,hill,thrill,chill,fill,kill,treadmill,spill,until,windowsill
IH K|music,pick,mc,thick,dick,sick,trick,brick,poetic,mic,slick,hick,archaic,selleck,stick,rick,quick,tragic,elastic,magic,manic,panic,attic,sic,tactic,melodramatic,pornaholic,heretic,lipstick,chick,tunic,anaesthetic,copaseptic
R D|sword,obscured,hard,lord,weird,backyard,prepared,scared,ford,yard,assured,stared,card,bored,shared,guard,scarred,cured,barred,appeared,aboard,accord,record,shard,endured,reward,adored,cared,ripcord,blackboard
R G|morgue
R F|arf
IH G|dig,big
IH F|if,stiff
R K|bark,park,dark,spark,pork,york
IH D|hid,kid,did,infatuated,fronted,busted,cremated,incarcerated,blooded,x-rated,g-rated,suffocated,branded,overrated,ousted,rewarded,costed,wilted,winded,unbended,unguarded,mistreated
IH C|rustlic
IH JH|college,advantage,carriage,marriage
IH NG|swing,seeing,boosting,feeling,nothing,sperling,stealing,hustling,going,sing,sting,thing,shotgun-blasting,morning,meaning,soaking,king,darling,amusing,confusing,losing,something,everything,dawning,bawling,redeeming,ceiling,crying,talking,walking,falling,happening,killing,constructing,trying,planning,changing,spinning,questioning,drowning,warning,howling,lightning,dying,shining,beginning,knowing,believing,cheating,waiting,saying,coming,hiding,misunderstanding,chugging,hugging,working,flying,standing,ring,wing,anything,living,loving,trembling,jumping,wasting,tasting,missing,co-operating,a-falling,crumbling,offering,burning,winning,saving,fling,running,listening,swallowing,hallucinating,begging,suffering,watching,pretending,string,screaming,rising,a-blowing,overflowing,turning,shaking,taking,eating,needing,forgiving,worrying,laughing,masturbating,hating,dreaming,thinking,wondering,rotting,whining,sitting,quitting,lifting,drifting,disbelieving,pounding,wandering,doing,surrounding,hounding,mounting,a-flowing,fighting,frightening,giving,tearing,calling,crushing,lying,weakening,gathering,smiling,shouting,winding,programming,unfolding,flowing,complaining,kissing,ringing,winging,singing,banging,ying,bleeding,receding,infesting,breathing,healing,freezing,craving,heading,darkening,brewing,dissing,dogging,blessing,reckoning,biding,fucking,depressing,clamoring,spring,marking,leaving,learning,casting,dissolving,revolving,gleaming,mourning,dancing,ling,praying,romancing,knocking,dazzling,colouring,barking,evening,yawning,reeling,aching,playing,breaking,whispering,overtaking,counting,hurting,misleading,visiting,raising
AA N|on,amazon,moron,upon,john,iran,tehran,hienton,baton,gibran,khan,c'mon
R S|remorse,fierce,horse,source,discourse,force
EY|say,way,away,r-o-c-k,rca,display,cliche,jay,lay,everyday,hey,heeeeeeeeeey,ok,sunday,delay,anyway,day,today,pray,stay,pay,holiday,chevrolet,okay,they,yesterday,play,grey,gray,someday,faraway,fe,stray,highway,astray,usa,a--,gay,freeway,mca,clay,doorway,gateway,skyway,hay,yay,yea,dayayayay,sleigh,bay,obey,prey,betray,survey,array,baby-ay,just-a,damna-,today-ay-ay,dj,thursday,disarray,decay,may,this-a-way,alleyway,birthday,runaway,ray,motorway,halfway
IH Z|douches,bitches,backwashes,draggin,is,aces,roses,excuses,senses,eclipses,romances,sages,cheeze-whiz,biz,wishes,is-,noises,challenges,crashes
CH T|touched,clenched,patched
IH V|positive,give,forgive
IH T|it,shit,quit,skit,bit,hit,pomagranite,pit,favourite,fit,split,faget,clit,'shit',desperate,locket,permit,bullshit,tit,spit,exit
IH S|diss,this,levis,kiss,miss,paris,bliss,piss,gingivitis,reminisce,solstice,lewis
IH R|clear,peer,beer,frontier,disappear,fear,dear,year,near,unclear,chandelier,bombardier,queer,deer,sear
IY CH|each,beach,reach,teach
ER|backpacker,weedwacker,together,wilbur,silver,brother,lover,heartbreaker,maker,thunder,mother,under,fucker,faker,motherfucker,sucker,her,over,rover,matter,holster,poster,announcer,ouncer,presser,professor,cheaper,talker,hooker,empire,never,glitter,hitter,hooter,shooter,skipper,tripper,lancer,camper,cramper,wonder,unger,redder,sweater,damper,higher,slower,player,loner,boner,figure,stranger,ranger,color,crapper,clapper,glover,undercover,rapper,river,forever,letter,desire,future,meister,elevator,culture,sculpture,blinder,power,platter,torture,pleasure,deadlier,stir,picture,ever,answer,hour,remember,harder,better,number,cover,paper,corner,younger,danger,dancer,flyer,other,border,order,refrigerator,rider,longer,stronger,tiger,altar,faster,fire,fighter,pyre,behavior,savior,pacifier,another,after,neighbour,poindexter,choir,monger,closer,liar,insecure,neighbor,failure,lower,occur,sugar,water,flower,clearwater,weather,dollar,walker,mister,sir,sister,shoulder,whenever,chamber,consider,burner,soldier,harbor,center,thicker,clover,warmer,master,laughter,mirror,lucifer,ladder,older,later,cracker,clearer,slicker,licker,deceiver,bleeder,locker,favor,screamer,cellar,hammer,moneymaker,spencer,nearer,deliverer,destroyer,cower,weaker,glamour,bower,architecture,anger,ishkur,father,disorder,sweeter,writer,partner,tighter,colour,doctor,monster,reefer,refer,pressure,proper,scarier,hairier,devour,sicker,suffer,cocksucker,vinegar,fodder,stutter,hauser,louder,slither,sever,shelter,sinner,killer,tougher,speaker,marker,barter,daughter,sponsor,tower,temper,sender,alligator,trigger,leather,sunflower,cheshire,lavender,flavour,watcher,fever,further,stripper,finger,singer,nature,wire,rocker,roller,controller,wheeler,dealer,stealer,bruiser,cruiser,hummer,sour,preacher,feller,junketer,trumpeter,leader,tender,discover,adventure,error,tire,surrender,vancouver,honor,teacher,feather,rearviewmirror,former
AA M|calm,palm,bomb,vietnam,stepmom,prom,mom
R P|sharp
UW|laheeeeoooooooo,laheeeooooo,laheoooo,laheoooooo,yoollllooo,crew,lahehoooo,yodalahehoooooooooo,to,glue,igloo,you,through,do,avenue,cashew,new,canoe,brew,kangaroo,buckaroo,too,2,sue,true,tattoo,ooh,dew,due,yoodle-eh-hi-hoo,view,knew,shoe,blue,voodoo,who,doo,two,into,q,bayou,lou,you-know-who,chu,boo,loew,ooh-ooh-ooh,untrue,few,to-,oo,hoo,withdrew,virtue,blew,clue,grew,coochie-coo,loo,dodododododododododo,ooh-ooh-ooh-ooh-ooh,n'doo,renew,timbuktu,wooh,whew,queue,zoo,whoo,woo,continue,venue
B Z|robes,clubs,flashbulbs
N TH|month
IY K|speak,weak,freak,creek,cheek,beak,week,squeak
B D|robbed
AE V|have
B L|unconceivable
Z IY|floozy
R T|part,chart,k-mart,start,sweetheart,heart,apart,sport,abort,short,resort,airport,support
AE S|ass,bass,class,grass,pass,gas,glass,mass,overpass
AE P|strap,flap,crap,rap,slap,snap,trap,burlap,bitch-slap,lap
L F|wolf,myself,itself,self,yourself,herself,himself,shelf
AE T|that,at,cat,format,rat-a-tat-tat,comosat,gat,rat,habitat,flat,hat,fat
F T|soft,gift,left,swift,shift,scoffed
AE Z|has,jazz,as
AE NG|bang,slang,hang,lang,dang,gang,sang,doomerang,yang
R V|starve
M Z|rhymes,times,slams,gems,stems,dreams,sometimes,games,seems,arms,names,dimes,bombs,flames,williams,pilgrims,thumbs,hymns,crumbs,seams,homes,schemes,comes,charms,adams,uniforms,problems,beams,chimes,screams
AE B|cab,slab,tab
M D|seemed,unclaimed,damned,tamed,formed,shamed,ashamed,maimed,blamed,armed
K S|tricks,seeks,slacks,wax,sticks,kicks,reebox,lakes,box,critics,chicks,stakes,breaks,stalks,works,politics,tracks,takes,trucks,axe,relax,sakes,checks,sex,fifty-six,fucks,rocks,spikes,fix,seljuks,automatics,sucks,aches,likes,climax,folks,looks,socks,books,66,walks,bakes,speaks,phoenix,mistakes
K T|rocked,worked,jerked,fact,fucked,sucked,respect,act,react,extinct,expect,contract,instinct,baked,product,looked,choked,suspect,talked,conflict
AE G|bag,fag,drag,wag,shag,rag,flag
AE D|nomad,had,sad,glad,bad,dad,lad,mad,baghdad
UH R|sure,secure,you're,unsure,cure,pure,endure,poor
AE K|back,mac,black,kojak,track,feedback,jack,sack,mack,crack,stack,cadillac,whack,smack,maniac,attack,razorback,pack,quack
AE N|man,tarzan,plan,can,dan,japan,ran,than,began,spaceman,po-o-ostman,mailman,sun-tan,ray-ban,pan
AA L|doll,alcohol
AE L|corral,gal,mal
AE M|program,jam,am,damn,goddamn,slam,5-ham,ham
V D|uparrivd,loved,enslaved,served,removed,deceived,waved,shaved,survived,saved,involved
R Z|tears,cares,stares,ears,fears,stars,pours,appears,yours,wars,there's,years,floors,bars,mars,queers,cigars,swears,disappears,wears,stairs,doors,nears,affairs,scars,dares,troubadours,stores,prayers,cars,theirs
AH NG|toungue,tongue,young,hung,sung,stung,lung,rung
EH TH|death,breath
DH D|unscathed,breathed
UW D|rude,solitude,crude,food,unglued,mood,glued
AA CH|watch
AO N|gone,lawn,dawn,pawn
EY TH|faith
IH P|relationship,zip,sip,hardship,rip,whip,strip,lip,dip,hip,friendship,slip
T IY|peyote,s'ti,tnt
V Z|lives,ourselves,curves,leaves,graves,themselves,chives,believes,moves,knives,fives,gloves
L D|world,old,gold,wild,child,threshold,mold,hold,cold,field,told,failed,snarled,shield,killed,prevailed,fulfilled,unfold,tailed,new-fangled,rock-and-rolled,hurled,sealed,smiled,sold,gerald,defiled
AO NG|wrong,along,song,long,strong,belong,everlong
IY F|leaf,thief,relief,grief
AY V|jive,alive,live,strive,'55,arrive,dive,survive,five,forty-five,1985,hive,thrive,drive
K TH|strength
ER B|curb
AO F|off
AO G|dog,sweathog,log
UW V|groove,prove,move
IY OW|su-sussudio
IY V|believe,leave,sleeve,weave,naive,eve,conceive,deceive,achieve
AA T|alot,shot,caught,not,hot,lot,got,bought,pot,rot,forgot,slot
IY R|here,ear,hear,shakespeare
IY S|peace,cease,piece,police,increase,release
AA P|stop,top,hop,pop,flop,drop,cop,shop,chop
IY Z|titties,booties,cuties,jammies,grammies,fannies,mp's,please,slimmys,jimmys,80's,90's,sees,trees,keys,abilities,memories,disease,breeze,knees,melodies,bodies,benji's,posies,fantasies,junkies,luxuries,squeeze,ease,louise,enemies,families,biddies,these,companies,centuries,bees,denny's,babies,prophecies,deficiencies,city's,seas,realise,alleys,d's,bullies
AA F|cough
AA G|fog
IY D|guaranteed,speed,bleed,need,succeed,breed,seed,greed,plead,indeed,tumbleweed,worried
AA NG|lo-ooh-ong
AA B|slob,job
UW DH|smooth
IY N|clean,seen,scene,mean,nineteen,green,13,dean,magazine,josephine,queen,obscene,machine,screen,lean,unseen,guillotine,between,bean,avaline,eva-iva-ova-avaline,evaline,seventeen,eighteen,gasoline,tambourine,fourteen,sixteen,eileen,tangerine,jean,unclean,thirteen
AA Z|was,cause
IY L|kneel,heal,real,feel,wheel,steal,deal,peel,o'neal,steel,seal,unreal,ordeal,surreal,she'll,dweel
IY M|beam,gleam,steam,dream,seem,cream,downstream,scream,stream,theme
AA K|rock,block,shock,cock,dock,iraq,clock,hock
ER CH|church,search
UW L|cool,pool,fool,school,ridicule,rule,minuscule
UW M|bloom,tomb,room,doom,perfume,gloom,presume,bedroom,broom,boom,bathroom
UW N|cartoon,soon,spoon,goon,moon,tune,june,'coon,saloon,afternoon,swoon,immune
AO K|talk,hawk,walk
AO L|wall,all,recall,fall,call,hall,ball,tall,cannonball,squall,y'all,small,waterfall,stall,crawl
EH M|mayhem,them,bethlehem
G Z|fags,mags,dogs,bags,kegs,tags,legs
EH S|less,success,stress,express,yes,address,guess,dress,recess,mess,abscess,bless,progress
EH R|stare,care,there,air,everywhere,hair,anywhere,tear,nowhere,aware,bear,somewhere,share,lair,chair,underwear,bare,ev'rywhere,where,prayer,unfair,scare,heir,fair,rare,dare,compare,wear,pair,declare,nightmare,millionaire
UW F|roof
EH P|yep,step,doorstep
AO D|fraud
UW B|cube,scoob,tube
EH T|wet,bet,jet,get,set,sweat,cigarette,regret,forget,met,upset,yet,bett-,sunset,debt
EH K|deck,neck,check
AO Z|because,doz,draws
AY M|dime,rhyme,time,prime,dime-,lifetime,crime,sometime,i'm,anytime,wintertime,overtime,chime,summertime,lime,climb
AW Z|vows,cows,allows
EH N|men,when,10,again,then,ten,pen,chien,'gain,den,businessmen
UW Z|dues,shoes,issues,lose,choose,news,blues,refuse,reviews,fuse,revues,booze,tattoos,cruise
EH L|sell,well,bell,tell,cell,shell,hell,fell,swell,michelle,citadel,smell,dwell,spell,motel,farewell
UW T|hoot,cute,shoot,fruit,suit
UW TH|truth,youth
AO R|more,floor,store,for,gore,whore,uproar,war,door,anymore,your,or,before,bore,four,shore,forty-four,thor,wore,explore,sore,adore,core,oar,ashore,abhor,swore,nevermore,wherefore
S IY|wussy,sassafras-y
AO T|fought,taught,thought,forethought,brought
EH F|stef,deaf
UW S|loose,juice,use,noose,abuse,excuse
AO S|cross,loss,moss
